dropping objects

Type dropped.


Type dropped.

recreating the CIS_REPORT_RECORD object (record)

Type created.

No errors.
recreating the CIS_REPORT object (array)

Type created.

No errors.
running the sample PL/SQL
Start: 13:57:16                                                                                     
After firt select: 13:57:18   Record count: 1873                                                    
879292 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879316 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879406 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879416 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879429 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879437 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879447 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879455 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879460 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879461 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879473 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879498 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879511 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879517 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879535 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879547 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879559 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879573 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879587 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879601 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879611 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879616 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879626 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879634 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879658 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879671 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879687 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879693 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
